source,category,identifier,title_or_query,detail,mitre_id,attack_stage,severity,extra_metric
Shodan,Infrastructure Exposure,ldap_rootdse,"port:389 ""namingContexts""",27694 indexed hosts found,T1595,Reconnaissance / Initial Access,medium,27694
Shodan,Infrastructure Exposure,ldaps_certs,port:636 ssl.cert.subject.CN:dc*,86 indexed hosts found,T1595,Reconnaissance / Initial Access,medium,86
Shodan,Infrastructure Exposure,global_catalog,port:3268,540317 indexed hosts found,T1595,Reconnaissance / Initial Access,high,540317
Shodan,Infrastructure Exposure,kerberos_88,"port:88 product:""Microsoft Windows"" -google -microsoft",0 indexed hosts found,T1595,Reconnaissance / Initial Access,low,0
Shodan,Infrastructure Exposure,smb_445,"port:445 os:""Windows Server"" -google -microsoft",108752 indexed hosts found,T1595,Reconnaissance / Initial Access,high,108752
VirusTotal,Tool Reputation,9931e7e40cdbeb4aa86eaf0a9e601334db8f850c729a5037d484b5126cef8375,SharpDPAPI.exe,peexe; assembly; detect-debug-environment; long-sleeps,,Tooling / Execution,high,43/71 (60.6%)
VirusTotal,Tool Reputation,a5e02e81d3e051516eae6548ec44a24be6363099dcf531d2c2d062cd8afb39c2,RunasCs.exe,peexe; assembly,,Tooling / Execution,high,45/71 (63.4%)
VirusTotal,Tool Reputation,b1c9f86c2715b984749012eb27fc0b1c9e9ae5b92a43991d4ee57bcf54d35daa,SharpChisel.exe,peexe; assembly,,Tooling / Execution,high,50/70 (71.4%)
VirusTotal,Tool Reputation,60d99cc226b87a11ad4741602e5451f6525a58a9717fc02bf1205cd97cded0d2,SharpSCCM.exe,peexe; assembly,,Tooling / Execution,high,36/71 (50.7%)
VirusTotal,Tool Reputation,bcb3d5a0e793b98c3e5fb4a84981bd868c12c0d41971c8bb6ce16024206a1386,SharpShares.exe,assembly; peexe,,Tooling / Execution,high,37/67 (55.2%)
VirusTotal,Tool Reputation,87c96e5d650e67d985bdbb2bf4be55c94f8b967b180d45c1c073cbcd57cf1ddb,SharpSpray.exe,direct-cpu-clock-access; peexe; runtime-modules; assembly; detect-debug-environment,,Tooling / Execution,high,41/71 (57.7%)
VirusTotal,Tool Reputation,c875cee3b25396e4be52ea0fc71a166249d995ace395944cda2710fa42501fcd,SharpZeroLogon.exe,cve-2020-1472; peexe; exploit; assembly,,Tooling / Execution,high,39/61 (63.9%)
VirusTotal,Tool Reputation,ee680b8bc12bb26c91fcf4826645082107f9ab17b5d6c3c0c2b0ec5cf12c5fa3,Sharp-SMBExec.exe,peexe; assembly; detect-debug-environment; long-sleeps,,Tooling / Execution,medium,24/71 (33.8%)
VirusTotal,Tool Reputation,aaeb69f93cfbbcb481b50157531d1f8a38fb13723262d49fe3a945361ba5a8b1,Rubeus.exe,long-sleeps; assembly; detect-debug-environment; peexe,,Tooling / Execution,high,56/69 (81.2%)
VirusTotal,Tool Reputation,7e540bf2ea005987a2eadc1ed30129cda0880ea894ed07f97e30abfcbfbe397a,SauronEye.exe,assembly; peexe; detect-debug-environment,,Tooling / Execution,medium,27/71 (38.0%)
VirusTotal,Tool Reputation,ca16e87c3ffc6496a23618ff180b0a57ec07e290207d47e8dc7489a208bf4d85,SharpChromium.exe,assembly; peexe,,Tooling / Execution,high,51/72 (70.8%)
VirusTotal,Tool Reputation,ff79a9f545d1f12ca8bd3a02e2a48da78a0400cce7849bd6cd26ba1a1e8f48c4,_RunasCs.exe,long-sleeps; peexe; assembly; detect-debug-environment,,Tooling / Execution,high,37/61 (60.7%)
VirusTotal,Tool Reputation,f504340404e40fea29f2beb71c114ce3d310ca80631aff7c0f0c19198da897d4,KrbRelayUp.exe,assembly; spreader; peexe,,Tooling / Execution,high,53/70 (75.7%)
VirusTotal,Tool Reputation,a2b402f23bed2afebdda5ca21f7bc705a021ad86a35676cd3b55c7aa56406e0f,SearchOutlook.exe,peexe; assembly; runtime-modules; detect-debug-environment; direct-cpu-clock-access,,Tooling / Execution,medium,29/70 (41.4%)
